LOGRADOURO;BAIRRO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
R. ANTONIO AUGUSTO DE BRITO;UMBARÁ;34;COMERCIO;-25,5562351;-49,2792387
R. REINALDO DE CARVALHO-BOLA;GANCHINHO;21;COMERCIO;-25,5561726;-49,2495988
R. FRANCISCO SOBANIA;CIDADE INDUSTRIAL;6;INDUSTRIA;-25,5546318;-49,308033
R. MARÇAL GUARANI;UMBARÁ;3;INDUSTRIA;-25,5544081;-49,278916
R. JOSÉ SCROCCARO;UMBARÁ;3;INDUSTRIA;-25,5540427;-49,296349
R. NOVA ESPERANÇA;SÍTIO CERCADO;8;INDUSTRIA;-25,5540379;-49,2667723
R. NOVA ESPERANÇA;SÍTIO CERCADO;63;COMERCIO;-25,5540379;-49,2667723
R. EDUARDO PINTO DA ROCHA;ALTO BOQUEIRÃO;4;INDUSTRIA;-25,5528589;-49,250452
R. EDUARDO PINTO DA ROCHA;GANCHINHO;11;INDUSTRIA;-25,5528589;-49,250452
R. EDUARDO PINTO DA ROCHA;SÍTIO CERCADO;3;INDUSTRIA;-25,5528589;-49,250452
R. EDUARDO PINTO DA ROCHA;UMBARÁ;5;INDUSTRIA;-25,5528589;-49,250452
