LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
ANTÔNIO REBELATTO;XAXIM;10;PATRIMONIO;-25,49378;-49,2590796
ANTONIO REBELATTO;XAXIM;9;PATRIMONIO;-25,49378;-49,2590796
ANTONIO REBELATTO;BOQUEIRÃO;6;PATRIMONIO;-25,49378;-49,2590796
ANTÔNIO REBELATTO;XAXIM;2;VIDA;-25,49378;-49,2590796
TENENTE CORONEL AVIADOR ALBERTO VALEIXO;SÍTIO CERCADO;2;VIDA;-25,5371265;-49,2590264
DEPUTADO EDGAR TÁVORA;BARREIRINHA;2;VIDA;-25,3734126;-49,259026
HUMBERTO CICCARINO;BOQUEIRÃO;4;VIDA;-25,4965588;-49,2588075
BARÃO DE GUARAÚNA;JUVEVÊ;2;VIDA;-25,4172764;-49,2587758
CIDADE DE PALMITOS;SÍTIO CERCADO;2;VIDA;-25,5361105;-49,2587704
UBALDINO DO AMARAL;JARDIM BOTÂNICO;18;PATRIMONIO;-25,4274542;-49,2586979
UBALDINO DO AMARAL;ALTO DA GLÓRIA;5;VIDA;-25,4274542;-49,2586979
UBALDINO DO AMARAL;ALTO DA GLÓRIA;5;PATRIMONIO;-25,4274542;-49,2586979
UBALDINO DO AMARAL;JARDIM BOTÂNICO;4;VIDA;-25,4274542;-49,2586979
UBALDINO DO AMARAL;CRISTO REI;3;VIDA;-25,4274542;-49,2586979
ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;63;PATRIMONIO;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;REBOUÇAS;48;PATRIMONIO;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;REBOUÇAS;19;VIDA;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;ÁGUA VERDE;18;PATRIMONIO;-25,4414617;-49,2584907
 ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;10;PATRIMONIO;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;8;VIDA;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;CENTRO;5;PATRIMONIO;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;ÁGUA VERDE;4;VIDA;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;CENTRO;2;VIDA;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;21;VIDA;-25,4414617;-49,2584907
ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;18;PATRIMONIO;-25,4414617;-49,2584907
PROFESSOR PLÁCIDO E SILVA;PAROLIN;83;PATRIMONIO;-25,4652827;-49,2584363
PROF. PLÁCIDO E SILVA;PAROLIN;6;PATRIMONIO;-25,4652827;-49,2584363
PROFESSOR PLÁCIDO E SILVA;GUAÍRA;2;VIDA;-25,4652827;-49,2584363
PROFESSOR PLÁCIDO E SILVA;PAROLIN;2;VIDA;-25,4652827;-49,2584363
OLIVEIRA VIANA;BOQUEIRÃO;96;PATRIMONIO;-25,4758312;-49,2583381
 OLIVEIRA VIANA;BOQUEIRÃO;10;PATRIMONIO;-25,4758312;-49,2583381
OLIVEIRA VIANA;HAUER;7;PATRIMONIO;-25,4758312;-49,2583381
OLIVEIRA VIANA;BOQUEIRÃO;2;VIDA;-25,4758312;-49,2583381
OLIVEIRA VIANA;HAUER;2;VIDA;-25,4758312;-49,2583381
DOUTOR PEDRO DARCY DE SOUZA;SÍTIO CERCADO;2;VIDA;-25,5440878;-49,2583098
PAULO MASS;SÍTIO CERCADO;2;VIDA;-25,5365306;-49,2580924
SETE DE SETEMBRO;CENTRO;457;PATRIMONIO;-25,4341267;-49,258001
SETE DE SETEMBRO;REBOUÇAS;187;PATRIMONIO;-25,4341267;-49,258001
SETE DE SETEMBRO;BATEL;154;PATRIMONIO;-25,4341267;-49,258001
SETE DE SETEMBRO;CENTRO;119;VIDA;-25,4341267;-49,258001
SETE DE SETEMBRO;ÁGUA VERDE;96;PATRIMONIO;-25,4341267;-49,258001
SETE DE SETEMBRO;JARDIM BOTÂNICO;46;PATRIMONIO;-25,4341267;-49,258001
SETE DE SETEMBRO;REBOUÇAS;40;VIDA;-25,4341267;-49,258001
SETE DE SETEMBRO;BATEL;38;VIDA;-25,4341267;-49,258001
SETE DE SETEMBRO;ÁGUA VERDE;25;VIDA;-25,4341267;-49,258001
SETE DE SETEMBRO;JARDIM BOTÂNICO;20;VIDA;-25,4341267;-49,258001
SETE DE SETEMBRO;CRISTO REI;9;PATRIMONIO;-25,4341267;-49,258001
SETE DE SETEMBRO;ALTO DA RUA XV;3;VIDA;-25,4341267;-49,258001
SETE DE SETEMBRO;SEMINÁRIO;3;VIDA;-25,4341267;-49,258001
JOAQUIM MENDES DA SILVA;SÍTIO CERCADO;2;VIDA;-25,5482501;-49,2579556
PADRE DEHON;BOQUEIRÃO;10;VIDA;-25,4797716;-49,2578423
PADRE DEHON;BOQUEIRÃO;6;PATRIMONIO;-25,4797716;-49,2578423
MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;706;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;HAUER;223;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;189;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PAROLIN;162;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;REBOUÇAS;144;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PRADO VELHO;104;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;CENTRO;95;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;HAUER;89;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;ALTO BOQUEIRÃO;80;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;REBOUÇAS;29;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;CENTRO;26;VIDA;-25,4601724;-49,2578292
 MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;19;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;ALTO BOQUEIRÃO;18;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PAROLIN;15;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;PRADO VELHO;5;VIDA;-25,4601724;-49,2578292
 MARECHAL FLORIANO PEIXOTO;HAUER;5;PATRIMONIO;-25,4601724;-49,2578292
 MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;3;VIDA;-25,4601724;-49,2578292
 MARECHAL FLORIANO PEIXOTO;HAUER;2;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;507;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;142;VIDA;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;HAUER;117;PATRIMONIO;-25,4601724;-49,2578292
MARECHAL FLORIANO PEIXOTO;REBOUÇAS;91;PATRIMONIO;-25,4601724;-49,2578292
