LATITUDE;LONGITUDE
-25,40411443;-49,26785626
-25,40309546;-49,26782929
-25,40207649;-49,26780231
-25,40105752;-49,26777534
-25,40003855;-49,26774836
-25,44949842;-49,26772438
-25,39901958;-49,26772139
-25,39800061;-49,26769441
-25,42272097;-49,26767951
-25,39698165;-49,26766744
-25,39596268;-49,26764046
-25,39494371;-49,26761349
-25,39392474;-49,26758651
-25,39290577;-49,26755954
-25,3918868;-49,26753256
-25,39086783;-49,26750559
-25,38984886;-49,26747861
-25,38882989;-49,26745163
-25,38781092;-49,26742466
-25,38781092;-49,26742466
-25,44484999;-49,26724831
-25,43770799;-49,26718972
-25,51360242;-49,2671258
-25,44313999;-49,26710518
-25,55917227;-49,26699809
-25,42196709;-49,26699022
-25,53414289;-49,26696221
-25,44914041;-49,26676653
-25,42121322;-49,26630094
-25,44448248;-49,2662826
-25,43733931;-49,26623226
-25,51326375;-49,26615214
