NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
MORADIAS MONTEIRO LOBATO, C E-EF M;RUA OLIVIO JOSE ROSSETI 430;TATUQUARA;PÚBLICA;-25,57350997;-49,3349017
BRANCA CASAGRANDE SABBAG, C M A E E;RUA OLIVARDO KONOROSKI BUENO 0;;PÚBLICA;-25,5752582;-49,3313351
MARIA IENKOT ZEGLIN, E M PROFA-EI EF;RUA PRESIDENTE JOAO GOULART 1605;TATUQUARA;PÚBLICA;-25,5775218;-49,3320528
ERONDY SILVERIO, C M E I;RUA PRESIDENTE JOAO GOULART 1605;TATUQUARA;PÚBLICA;-25,5775218;-49,3320528
JULIO RAPHAEL GOMEL, C M E I;RUA AGOSTINHA MARIA RIBEIRO ABRAO 48;TATUQUARA;PÚBLICA;-25,5788258;-49,337871
JARDIM LUDOVICA, C M E I;RUA ALGACYR MANOEL VOLUZ 214;TATUQUARA;PÚBLICA;-25,5796706;-49,3361485
CAJUEIRO, C M E I;RUA JOAO LASKA 124;CAMPO DE SANTANA;PÚBLICA;-25,5801304;-49,3205252
RURBANA, C M E I;RUA ANGELO TOZIM 866;CAMPO DE SANTANA;PÚBLICA;-25,5836559;-49,3260617
SANTA ANA MESTRA, E M-EI EF;RUA JOAO PEREIRA TRINDADE 265;CAMPO DE SANTANA;PÚBLICA;-25,5843738;-49,3229751
DONA BERTHA, C M E I;RUA PIA LAZZARI BERTOLDI 160;CAMPO DE SANTANA;PÚBLICA;-25,58521575;-49,33659993
HELENA KOLODY, E M-EI EF;RUA HUMBERTO BERTOLDI 281;CAMPO DE SANTANA;PÚBLICA;-25,5858285;-49,33700178
NIRLEI MEDEIROS, C E-EF M;RUA ANTONIO BERTHOLDI 409;CAMPO DE SANTANA;PÚBLICA;-25,5860624;-49,3337957
TATUQUARA, C E-EF M;ESTRADA DELEGADO BRUNO DE ALMEIDA 3339;TATUQUARA;PÚBLICA;-25,5878731;-49,3181831
HERMES MACEDO, C M E I;RUA LUIZ BERTOLDI 75;CAMPO DE SANTANA;PÚBLICA;-25,58841039;-49,33249634
JOAO AMAZONAS, E M-EI EF;RUA PALMYRA CRIVELLARO BERTOLDE 813;CAMPO DE SANTANA;PÚBLICA;-25,591049;-49,34126483
MARIA GRACITA GRACIA GONCALVES, C M E I;RUA EWERTON LEINIG SAPORSKI 40;CAMPO DE SANTANA;PÚBLICA;-25,591523;-49,34063287
LUCIA ZANIER DEMETERCO, C M E I;RUA CECILIA VIGO BRUZAMORIN 45;CAMPO DE SANTANA;PÚBLICA;-25,59481224;-49,32870727
GERDT GUENTHER HATSCHBACH, C M E I;RUA LUCAS CARVALHO 1436;CAMPO DE SANTANA;PÚBLICA;-25,5949881;-49,3254584
RIO BONITO, E M-EI EF;RUA LUCAS CARVALHO 1486;CAMPO DE SANTANA;PÚBLICA;-25,5949881;-49,3254584
MILTON LUIZ PEREIRA, C M E I;RUA URIEL NOGUEIRA DOS SANTOS 700;CAMPO DE SANTANA;PÚBLICA;-25,5982664;-49,3303514
JOANA RAKSA, E M PROFA-EI EF;RUA FRANCISCA BERALDE PAOLINI 99;CAXIMBA;PÚBLICA;-25,619044;-49,3485214
CAXIMBA, C M E I;RUA EST DEL BRUNO DE ALMEIDA 8059;CAXIMBA;PÚBLICA;-25,61988273;-49,34779888
EDUCARE, C E I;RUA MEXICO 580;BACACHERI;PRIVADO;-25,3535341;-49,2020609
CRISTAO DE CURITIBA, C-EI EF M;RUA DAVID BODZIAK 207;CACHOEIRA;PRIVADO;-25,3541295;-49,2611617
LAR BOM PASTOR, E-EI EF;RUA IRMA ANATOLIA 421;BARREIRINHA;PRIVADO;-25,3589962;-49,2678799
TRAMPOLIM, C E I;RUA HUMBERTO LEVIS 387;BARREIRINHA;PRIVADO;-25,3633701;-49,2663426
