LATITUDE;LONGITUDE;QUANTIDADE
-25,5052053;-49,2609885;4
-25,5049321;-49,3543286;6
-25,5046499;-49,3412883;8
-25,5046078;-49,3249503;6
-25,5042913;-49,2193659;2
-25,5042903;-49,2958742;388
-25,5042036;-49,3539063;3
-25,50365;-49,2676829;4
-25,503645;-49,3218571;2
-25,5035808;-49,3234303;9
-25,503257;-49,3435651;3
-25,5032299;-49,2371718;8
-25,5032292;-49,3246809;11
-25,5030639;-49,2367563;13
-25,5028644;-49,2868262;4
-25,5024573;-49,3019342;2
-25,5023782;-49,2617863;2
-25,5021441;-49,2508718;4
-25,5021386;-49,3245606;2
-25,5021351;-49,287033;8
-25,501942;-49,215186;6
-25,5016358;-49,2082049;21
-25,501537;-49,3161301;5
-25,5015234;-49,2388357;8
-25,5011166;-49,3492643;3
-25,5010802;-49,3445362;2
-25,5008854;-49,3417896;2
-25,5008472;-49,2632663;3
-25,500775;-49,236573;26
-25,5006784;-49,3451571;2
-25,50053;-49,2983449;2
-25,5005249;-49,2164819;2
-25,5005195;-49,3235619;8
-25,5002515;-49,2298732;3
-25,5000774;-49,2168923;3
-25,4998761;-49,2343498;7
-25,4995996;-49,274161;2
-25,4991877;-49,357565;2
-25,4986249;-49,2167207;2
-25,4985847;-49,2623348;3
-25,4985457;-49,2185222;3
-25,4982925;-49,3315114;3
-25,4981243;-49,3502198;2
-25,4980592;-49,3082701;31
-25,4980314;-49,2352422;3
-25,4979894;-49,3083502;2
-25,497933;-49,2944889;2
-25,4977857;-49,3388925;7
-25,4974794;-49,2016829;2
-25,4974608;-49,2501654;3
-25,4973327;-49,2278431;2
-25,4970131;-49,3552624;5
-25,4966964;-49,3235913;6
-25,4965626;-49,2716978;19
-25,4965588;-49,2588075;4
-25,496202;-49,2995775;3
-25,4961899;-49,3212645;2
-25,496054;-49,2779062;2
-25,4959413;-49,3237138;2
-25,4958267;-49,2067132;5
-25,495751;-49,2403557;5
-25,4954818;-49,2995797;2
-25,4954377;-49,206437;4
-25,4954259;-49,2604066;4
-25,4953128;-49,3515173;3
-25,4950318;-49,3395369;4
-25,4949702;-49,2440194;2
-25,4949253;-49,3352804;17
-25,4946162;-49,2863147;2
-25,4945037;-49,3482256;2
-25,4944938;-49,3472698;2
-25,4943935;-49,2812924;2
-25,4942288;-49,2851426;2
-25,4941311;-49,34806;2
-25,49378;-49,2590796;19
-25,4937291;-49,2079595;7
-25,4935784;-49,2241418;2
-25,493575;-49,3409733;2
-25,4935606;-49,2115189;2
-25,4934691;-49,2982056;3
-25,4929498;-49,2034723;4
-25,4927758;-49,206452;3
-25,4926149;-49,306569;5
-25,492515;-49,259684;2
-25,4921948;-49,261649;2
-25,4921207;-49,2324195;5
-25,4920597;-49,2830994;5
-25,4919583;-49,2008449;2
-25,4915357;-49,2061446;3
-25,4913187;-49,2128922;3
-25,4912989;-49,2050586;6
-25,4908768;-49,3092995;2
-25,4907118;-49,2046682;3
-25,4906783;-49,2388386;4
-25,4903142;-49,2938294;3
-25,4900236;-49,3577799;3
-25,4898648;-49,2993636;4
-25,489712;-49,3213702;14
-25,4896116;-49,354087;9
-25,4892799;-49,2408636;7
-25,4892121;-49,2884833;5
-25,489043;-49,3051849;2
-25,4889143;-49,3497216;2
-25,4886505;-49,2889578;4
-25,488578;-49,3024113;4
-25,4884044;-49,2156349;4
-25,4883879;-49,2780765;2
-25,4883445;-49,238514;11
-25,4876578;-49,1978828;2
-25,4874777;-49,3509548;6
-25,487472;-49,3497979;6
-25,4874059;-49,3260772;3
-25,4874058;-49,3102633;2
-25,4872906;-49,3010546;2
-25,4872898;-49,1954152;2
-25,4871107;-49,2050652;3
-25,4870109;-49,2514572;2
-25,4867137;-49,261506;2
-25,4867115;-49,200113;2
-25,4866011;-49,2004111;7
-25,4865709;-49,2924726;14
-25,4865276;-49,3102616;3
-25,4865251;-49,355607;2
-25,4860951;-49,2890971;15
-25,4859573;-49,3339476;2
