Latitude;Longitude;Bairro
-25,38882989;-49,26745163;São Lourenço
-25,38781092;-49,26742466;São Lourenço
-25,38781092;-49,26742466;São Lourenço
-25,44484999;-49,26724831;Rebouças
-25,43770799;-49,26718972;Centro
-25,51360242;-49,2671258;Xaxim
-25,44313999;-49,26710518;Rebouças
-25,55917227;-49,26699809;Sítio Cercado
-25,42196709;-49,26699022;Alto da Glória
-25,53414289;-49,26696221;Sítio Cercado
-25,44914041;-49,26676653;Rebouças
-25,42121322;-49,26630094;Alto da Glória
-25,44448248;-49,2662826;Rebouças
-25,43733931;-49,26623226;Centro
-25,51326375;-49,26615214;Xaxim
-25,44276259;-49,26611481;Rebouças
-25,55868219;-49,26610757;Sítio Cercado
-25,53390412;-49,26597788;Sítio Cercado
-25,44878239;-49,26580867;Rebouças
-25,42045935;-49,26561165;Alto da Glória
-25,44411496;-49,26531689;Rebouças
-25,43697063;-49,26527479;Centro
-25,55819211;-49,26521706;Sítio Cercado
-25,51292509;-49,26517847;Xaxim
-25,53366536;-49,26499355;Sítio Cercado
-25,44842438;-49,26485081;Rebouças
-25,44374744;-49,26435118;Rebouças
-25,55770203;-49,26432654;Sítio Cercado
-25,43660195;-49,26431733;Centro
-25,51258643;-49,2642048;Xaxim
-25,53342659;-49,26400923;Sítio Cercado
-25,44806636;-49,26389295;Rebouças
-25,55721195;-49,26343603;Sítio Cercado
-25,44337992;-49,26338547;Rebouças
-25,43623327;-49,26335986;Centro
-25,51224776;-49,26323113;Xaxim
-25,53318782;-49,2630249;Sítio Cercado
-25,44770835;-49,26293509;Rebouças
-25,3829257;-49,26261814;São Lourenço
-25,55672187;-49,26254551;Sítio Cercado
-25,4430124;-49,26241977;Rebouças
-25,43586458;-49,2624024;Centro
-25,5119091;-49,26225746;Xaxim
-25,53294906;-49,26204057;Sítio Cercado
-25,44735033;-49,26197723;Rebouças
-25,38370783;-49,26194269;Barreirinha
-25,55623179;-49,261655;Sítio Cercado
-25,44264488;-49,26145406;Rebouças
-25,4354959;-49,26144493;Centro
-25,51157044;-49,26128379;Xaxim
-25,38448996;-49,26126724;São Lourenço
-25,53271029;-49,26105625;Sítio Cercado
-25,44699231;-49,26101937;Rebouças
-25,55574171;-49,26076448;Sítio Cercado
-25,3852721;-49,26059179;Boa Vista
-25,44227736;-49,26048835;Rebouças
-25,43512722;-49,26048747;Centro
-25,43533625;-49,26040981;Bairro Jardim Botânico
-25,51123177;-49,26031012;Xaxim
-25,43639401;-49,26022166;Rebouças
